Titulo;Anio;Genero;Duracion;Reparto 
KV1 - Almas de Ferro;2018;Ação, Aventura, Drama;89 minutos;Andrey Chernyshov,Evgenii Zelenskii,Nikolay Dobrynin,Oleg Fomin,Olga Pogodina,Sergey Gorobchenko,Vasiliy Sedykh,Vladimir Epifantsev,Vladimir Kochetkov,Vladimir Yepifanov,Konstantin Maksimov
Garoto Fantasma;2015;Animação, Aventura;84 minutos;Audrey Tautou,Edouard Baer,Fred Armisen,Jackie Berroyer,Jared Padalecki,Jean-Pierre Marielle,Joey Camen,Vincent D'Onofrio,Alain Gagnol,Jean-Loup Felicioli
Glória;2017;Documentários;48 minutos;Não Disponível,Não Disponível
O Rugir do Leão;2014;Fé e Espiritualidade;64 minutos;Brad Stine,Don Finto,Eric Roberts,Jason Burkey,John Schneider,Kevin Sorbo,Michael Joiner,Stephen Baldwin,Vanessa Frank
Kin;2018;Ação, Ficção Científica, Suspense;102 minutos;Carrie Coon,Dennis Quaid,Jack Reynor,James Franco,Jonathan Cherry,Myles Truitt,Romano Orzari,Zoë Kravitz,Jonathan Baker (XVII),Josh Baker
Top Gear - 18ª Temporada;2012;Documentários, Comédia;7 episódios;James May,Jeremy Clarkson,Richard Hammond,Brian Klein
Foliar Brasil Doc - 2ª Temporada;2019;Documentários, Independente;13 episódios;Não Disponível,Carolina Paiva
Yara;2018;Drama, Romance;100 minutos;Charbel Alkady,Elias Alkady,Elias Freifer,Mary Alkady,Michelle Wehbe,Abbas Fahdel
Data Limite, Segundo Chico Xavier;2014;Documentários, Fé e Espiritualidade;62 minutos;Ademar Gevaerd,Alberto Cardoso,Divaldo Franco,General Uchoa,Geraldo Lemos,Marcus Freitas,Paul Hellyer,Saulo Gomes,Fabio Medeiros
Amityville - O Despertar;2017;Terror, Suspense;86 minutos;Bella Thorne,Cameron Monaghan,Jennifer Jason Leigh,Jennifer Morrison,Kurtwood Smith,Mckenna Grace,Taylor Spreitler,Thomas Mann (II),Franck Khalfoun
Seus Olhos;2020;Drama;7 episódios;Angélica Di Paula,Antonia Magnani,Braulio Ferraz,Carla Zanini,Gabriel Lodi,Leleto Bonfim,Lucia Bronstein,Paula Marina Rocha,Angélica Di Paula,Julia Rufino
Halloween - O Início;2007;Terror;121 minutos;Daeg Faerch,Danielle Harris,Kristina Klebe,Malcolm Mcdowell,Scout Taylor-Compton,Sheri Moon Zombie,Tyler Mane,William Forsythe,Rob Zombie
Separação e Reencontro;2017;Drama;91 minutos;Anna Stranz,Charla Marie Bailey,Dariush Moslemi,Hannah Aslesen,Josten Rositas,Robb Gordon Miller,Susan Chambers,Andrew Hunt
O Tempo Não Apaga;1946;Clássico, Drama, Romance;116 minutos;Ann Doran,Barbara Stanwyck,Frank Orth,Judith Anderson,Kirk Douglas,Lizabeth Scott,Roman Bohnen,Van Heflin,Lewis Milestone
Tortura - Até Onde Você Iria Por Amor a Deus;2013;Fé e Espiritualidade, Drama, Teatro;96 minutos;Breno Kikuchi,Carlos Bolzan,Cristiane Pinheiro,Daniel Gustavo Pereira,Felipe Batista,Gabriel Cardoso,Kleyton Petter,Luciana Caldas,Caique Oliveira
República Madalena;2019;Documentário, Curta-Metragem;24 minutos;Não Disponível,Fernando Belo
Oba Oba Samba House - Ao Vivo No Rio;2014;Shows, Samba / Pagode;72 minutos;Oba Oba Samba House,Não Disponível
Hiato;2008;Documentário, Curta-Metragem;19 minutos;Não Disponível,Vladimir Pereira Seixas
Benção Mortal;1981;Terror, Thriller;102 minutos;Douglas Barr,Ernest Borgnine,Jeff East,Lisa Hartmann,Lois Nettleton,Maren Jensen,Michael Berryman,Sharon Stone,Wes Craven
A Possessão de Mary;2019;Terror;84 minutos;Chloe Perrin,Douglas Urbanski,Emily Mortimer,Gary Oldman,Jennifer Esposito,Manuel Garcia-Rulfo,Owen Teague,Stefanie Scott,Michael Goi
Lucas Lucco - O Destino;2014;Shows, Sertanejo;79 minutos;Lucas Lucco,Joana Mazzuchelli
Desespero;2011;Terror, Suspense;81 minutos;Anna Skellern,Darren Kent,Dave Legeno,Eric Godon,Kenny Doughty,Marcus Garvey,Richard Brake,Rupert Evans,Alexandre Courtès
Palavras nas Paredes do Banheiro;2020;Drama, Romance;110 minutos;Andy Garcia,AnnaSophia Robb,Beth Grant,Charlie Plummer,Devon Bostick,Drew Scheid,Molly Parker,Sean Michael Weber,Taylor Russell,Walton Goggins,Thor Freudenthal
Adriana Calcanhotto - Partimpim Dois é Show;2006;Shows, MPB;82 minutos;Adriana Calcanhotto,Leonardo Netto
Investigação Criminal - 3ª Temporada;2014;Documentários, Policial;8 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Bruna Karla - Advogado Fiel;2011;Shows, Gospel;100 minutos;Anderson Freire,Bruna Karla,Cássia Santos,Jairo Bonfim,Wilian Nascimento,Marina de Oliveira
The Musketeers - 2ª Temporada;2015;Aventura, Drama;10 episódios;Howard Charles,Hugo Speer,Luke Pasqualino,Maimie McCoy,Marc Warren,Santiago Cabrera,Tamla Kari,Tom Burke,Adrian Hodges
Operação Perigosa;2014;Ação, Policial, Suspense;82 minutos;Antwon Tanner,Cam'Ron Giles,Jesse Liebman,Macy Gray,Malinda Williams,Omar Gooding,Ving Rhames,Billy Allrich
Casal Improvável;2019;Comédia, Romance;124 minutos;Alexander Skarsgård,Andy Serkis,Bob Odenkirk,Charlize Theron,June Diane Raphael,O'Shea Jackson Jr.,Ravi Patel,Seth Rogen,Jonathan Levine
Reféns do Desconhecido;2008;Ficção Científica, Suspense;85 minutos;Carlos Bernard,Courtney Ford,Jeffrey Licon,Joel McCrary,Mathew St. Patrick,Rockmond Dunbar,Tom Kiesche,Ben Rock
Roma de Fellini;1972;Clássico, Comédia, Drama;119 minutos;Alberto Sordi,Anna Magnani,Dennis Christopher,Federico Fellini,Gore Vidal,Marcello Mastroianni,Federico Fellini
Rio do Medo;2018;Documentários;85 minutos;Não Disponível,Ernesto Rodrigues
A Escola de Susto do Gasparzinho;2006;Animação, Infantil;78 minutos;Billy West,Brett DelBuono,Debi Derryberry,Devon Werkheiser,Jason Harris,John DiMaggio,Nika Futterman,Pat Fraley,Scott Menville,Mark Gravas
Carol;2015;Drama, Romance;118 minutos;Carrie Brownstein,Cate Blanchett,Cory Michael Smith,Jake Lacy,John Magaro,Kyle Chandler,Michael Haney,Rooney Mara,Sarah Paulson,Todd Haynes
Puro Êxtase;2019;Policial, Drama;98 minutos;Francesca Eastwood,Henry Zaga,Yetide Badaki,Angie Wang
O Tesouro;2015;Comédia;88 minutos;Adrian Purcarescu,Corneliu Cozmei,Dan Chiriac,Florin Kevorkian,Iulia Ciochina,Marius Coanda,Radu Bânzaru,Toma Cuzin,Corneliu Porumboiu
Salpekas - Completo;2014;Infantil, Musical;43 minutos;Kael,Koli,Kuoko,Ponka,Sal,Trika,Renato Baccaro de Candia
Turma da Mônica Anos 80 e 90 - A Fonte da Juventude;1986;Animação, Infantil;15 minutos;Angèlica Santos,Elza Gonçalves,Marli Bortoletto,Paulo Cavalcante,Maurício de Sousa
Ringue de Fogo;2018;Ação;76 minutos;Christopher Showerman,Greg Maness,Guy A. Grundy,Ian Lauer,Lou Ferrigno,Michael Placencia,Teresa Navarro,Phil Gorn
Se Beber, Não Case!;2009;Comédia, Romance;99 minutos;Bradley Cooper,Ed Helms,Heather Graham,Justin Bartha,Zach Galifianakis,Todd Phillips
Pé Grande vs. Papai Noel;2018;Animação, Infantil;86 minutos;Charlie Suntress,Evan Tramel,KJ Schrock,Martin Singer,Nathan Gray,Evan Tramel
Enquanto Canto;2017;Drama, Curta-Metragem;16 minutos;Cicero Ferreira,Leonardo Marchetti,Sil Azevedo
Marcos Valle - Conecta;2008;Shows, Jazz, Pop Nacional, Rock Nacional;105 minutos;Marcos Valle,Roberto de Oliveira
Butter - Deslizando na Trapaça;2011;Comédia, Drama;90 minutos;Alicia Silverstone,Ashley Greene,Garrett Schenck,Hugh Jackman,Jennifer Garner,Kristen Schaal,Olivia Wilde,Ty Burrell,Jim Field Smith
Voo Brilhante;2012;Drama, Aventura;111 minutos;Angela Finocchiaro,Diego Bianchi,Francesco Salvi,Gaetano Fresa,Giobbe Covatta,Mohamed Lamine Keita,Mohamed Toumany Sylla,Paolo Bianchini
Mount Joy;2014;Drama;86 minutos;Amorika Amoroso,Brandon Lee Harris,Jay Della Valle,Josh Eves,Nathan Gregory,Salvatore Hodgson,Sean Gallagher,Timothy Hoobler,Jack Lewars
Ela;2013;Drama, Romance;126 minutos;Amy Adams,Bill Hader,Brian Johnson,Chris Pratt,Joaquin Phoenix,Olivia Wilde,Rooney Mara,Scarlett Johansson,Steve Zissis,Spike Jonze
Vinho de Verão;2013;Drama, Romance;90 minutos;Dominic Allburn,Elsa Pataky,Ethan Peck,Jonathan D. Mellor,Kelsey Asbille,Marcia Gay Harden,Najwa Nimri,Sônia Braga,Maria Matteoli
República do Peru - 1ª Temporada;2019;Comédia, Independente;13 episódios;Anselmo Vasconcellos,Dhu Moraes,Lady Francisco,Lucia Alves,Monique Lafond,Robson Caetano,Carolina Paiva
Detonautas Roque Clube - Acústico;2009;Shows, Rock Nacional;78 minutos;Detonautas,Bruno Murtinho
Mangueira Por Ela Mesma;1996;Curta-Metragem, Documentário, Drama;14 minutos;Não Disponível,Carolina Paiva
Guerra Sem Fim - A Espada é a Lei;2020;Ação, Aventura;90 minutos;Damian Bush,Endia Hare,Jeff Guerrero,Jezibell Anat,Paul Reyes,Ryan Cruce,Sherman Gills,Tammy Huls,Thomas Carani,Christopher Forbes
O Dinheiro;1983;Clássico, Drama, Policial;81 minutos;Béatrice Tabourin,Caroline Lang,Christian Patey,Didier Baussy,Marc Ernest Fourneau,Michel Briguet,Sylvie Van den Elsen,Vincent Risterucci,Robert Bresson
Cabana Macabra;2008;Terror, Comédia, Suspense;90 minutos;Doug Bradley,Eden Groome,Georgia Groome,Jennifer Ellison,Jonathan Chan-Pensley,Paul Andrew Williams
Parabéns a Você;2019;Ficção, Curta-Metragem, Infantil;19 minutos;Alexandre Zampier,Guenia Lemos,JULIANA TOSIN,Matheus Moura,MÔNICA CHRISTO,Nathalia Garcia,Vitor Hugo Do Amaral,Andréia Kaláboa
30 Minutos ou Menos;2011;Ação, Aventura, Comédia;82 minutos;Bianca Kajlich,Danny Mcbride,Elizabeth Wright Shapiro,Fred Ward,Jesse Eisenberg,Michael Peña,Nick Swardson,Paul Tierney,Ruben Fleischer
Uma Prova de Fé 2 - Voltando para Casa;2019;Drama, Fé e Espiritualidade;94 minutos;Alexandra Boylan,Bill Engvall,Dariush Moslemi,Denise Morris,Erin Ross,Garrett Westton,Lauren Chavez-Myers,Lea Hutton Beasmore,Lorena Segura York,Terri Minton,John K.D. Graham
Banda Calypso - 15 Anos;2015;Shows, Forró;116 minutos;Chimbinha,Joelma Mendes,Raul Junior
Scooby-Doo - Abracadabra-Doo;2010;Infantil, Animação;76 minutos;Disponível, Não,Spike Brandt
Mangue Negro;2008;Terror, Suspense;104 minutos;André Lobo,Antônio Lâmego,Julio Tigre,Kika Oliveira,Markus Konká,Maurício Ribeiro,Reginaldo Secundo,Ricardo Araújo,Rodrigo Aragão
Sinistro - A Maldição do Lobisomem;2014;Terror, Suspense;92 minutos;A.J. Cook,Brian Scott O'Connor,Ionut Grama,Oaklee Pendergast,Sebastian Roché,Simon Quarterman,Stephanie Lemelin,Vik Sahay,William Brent Bell
A Piscina de Caíque;2017;Curta-Metragem;15 minutos;Antônio Pitanga,Eliana Santos,Guilherme Augusto Silva,Lucas Orsida,Raphael Gustavo da Silva
Vício Frenético;2009;Crime, Policial;121 minutos;Brad Dourif,Denzel Whitaker,Eva Mendes,Fairuza Balk,Irma P. Hall,Jennifer Coolidge,Michael Shannon,Nicolas Cage,Shawn Hatosy,Shea Whigham,Tom Bower,Val Kilmer,Vondie Curtis-Hall,Werner Herzog
Boone - O Caçador de Recompensas;2017;Ação, Drama;86 minutos;Jane Park Smith,John Hennigan,Jonathan Lipnicki,Kevin Sorbo,Lesley Fera,Lorenzo Lamas,Osric Chau,Richard Tyson,Spencer Grammer,Robert Kirbyson
Bob Zoom - Volume 1;2013;Infantil, Animação, Música;23 minutos;Bruno Carvalho de Andrade,Ramiro Marques,Sandra Oak,Tomás Carvalho de Andrade,Xandreli,Marcos Mello,Oswaldo Braz
Megalo Box - 1ª Temporada;2018;Animação, Ação, Aventura;13 episódios;Dorah Fine,Erika Harlacher,Greg Chun,Kyle Hebert,Lex Lang,Robbie Daymond,Todd Haberkorn,Yoshimasa Hosoya,Yo Moriyama
Carrinhos Divertidos e Alucinados - Volume 2;2013;Animação, Infantil, Kids;3 episódios;Alex Minei,Artur Machado,Charlie Mambertt,Dlaigeles Riba,Francisco Freitas,Rosangela Mello,Sidney Cesar,Tiago Guimaraes,Wagner Santos,Wallace Raj,Dragan Milinkovic
Uma Americana em Paris;2007;Comédia, Drama, Romance;97 minutos;Dana Ivey,Drea de Matteo,Gena Rowlands,Melvil Poupaud,Parker Posey,Peter Bogdanovich,Philip Pavel,Tim Guinee,Zoe R. Cassavetes
À Brasileira - 1ª Temporada;2019;Documentários;20 episódios;Não Disponível,Beto Ribeiro,Carla Albuquerque
Julie e Julia;2009;Comédia, Drama, Romance;123 minutos;Amy Adams,Meryl Streep,Nora Ephron
Time Speech - Discurso do Tempo;2017;Ficção Científica, Curta-Metragem;12 minutos;Federico Cibils,Nikolay Moss,Fabio Medeiros,Rebeca Casagrande
Biquini Cavadão - Ao Vivo;2005;Shows, Rock Nacional;78 minutos;Biquini Cavadão,João Augusto
Saint Maud;2020;Terror, Drama, Mistério;84 minutos;Faith Edwards,Jel Djelal,Jennifer Ehle,Lily Frazer,Lily Knight,Marcus Hutton,Morfydd Clark,Rosie Sansom,Turlough Convery,Rose Glass
Beleza Oculta;2016;Drama, Romance;96 minutos;Edward Norton,Helen Mirren,Jacob Latimore,Kate Winslet,Keira Knightley,Michael Peña,Naomie Harris,Will Smith,David Frankel
Lindas de Morrer;2010;Comédia, Romance, Suspense;92 minutos;Ivy Levan,Jeremy London,Joshua Cox,Kirsten Berman,Natasha Alam,Nicholas Irons,Steven Berkoff,Vernon Wells,Philip Alderton
A Lenda de Golem;2018;Terror, Drama;94 minutos;Adi Kvetner,Alex Tritenko,Brynie Furstenberg,Hani Furstenberg,Ishai Golan,Katya Gaydak,Kirill Cernyakov,Lenny Ravich,Doron Paz,Yoav Paz
Hudson Taylor;1981;Clássico, Biografia, Drama;87 minutos;Charles Applegate,J. Wesley Baker,Laura Crandell,Mike Brumbaugh,Mike Hickman,Rebecca Baker,Vanessa Baker,Ken Anderson
Corpus Christi;2019;Drama;115 minutos;Aleksandra Konieczna,Barbara Kurzaj,Bartosz Bielenia,Eliza Rycembel,Leszek Lichota,Lukasz Simlat,Tomasz Zietek,Zdzislaw Wardejn,Jan Komasa
Invasão ao Serviço Secreto;2019;Ação, Suspense;120 minutos;Danny Huston,Frederick Schmidt,Gerard Butler,Jada Pinkett Smith,Lance Reddick,Morgan Freeman,Nick Nolte,Piper Perabo,Ric Roman Waugh
Michael Bublé - Meets Madison Square Garden;2010;Shows, Pop Internacional;61 minutos;Michael Bublé,Naturally 7,Dick Carruthers,Jason Hehir
Uninverso;2004;Curta-Metragem;12 minutos;Alexandre Roit,Francisco Gaspar,Neuton Santos,Rodrigo Matheus,Marcos DeBrito
A Cinco Quadras;2019;Educacional, Fé e Espiritualidade;79 minutos;Bradford Haynes,Chase Parker,Evan Alex Cole,Jessica Webb,Matthew Young,Melissa Henry,Michael Knoblock,Thomas Michael Miller,Kevis Antonio
Quando as Luzes se Apagam;2016;Terror, Suspense;80 minutos;Alexander DiPersia,Alicia Vela-Bailey,Billy Burke,Emily Alyn Lind,Gabriel Bateman,Lotta Losten,Maria Bello,Teresa Palmer,David F. Sandberg
Batman - O Cavaleiro das Trevas;2008;Ação, Aventura;152 minutos;Aaron Eckhart,Christian Bale,Gary Oldman,Heath Ledger,Maggie Gyllenhaal,Michael Caine,Morgan Freeman,Ron Dean,Christopher Nolan
Meu Recôncavo - Paulo Costta e Moreno Veloso;2019;Shows, MPB, Musical;74 minutos;Moreno Veloso,Paulo Costta,Paulo Henrique Fontenelle
Nervo Craniano Zero;2012;Terror;88 minutos;Guenia Lemos,Leandro Daniel Colombo,Luiz Bertazzo,Uyara Torrente,Paulo Biscaia Filho
A Lista;2013;Ação, Drama, Policial;104 minutos;Amy Smart,Bill Duke,Chris Marquette,J.D. Evermore,Matt Dillon,Neal McDonough,Tom Berenger,Willem Dafoe,Chris Brinker
Oto e a Música;2015;Animação, Infantil;6 episódios;Não Disponível,Cristian Jezdic,Fasako Yusaki
Liga da Justiça;2017;Ação, Aventura;119 minutos;Amber Heard,Amy Adams,Ben Affleck,Connie Nielsen,Ezra Miller,Gal Gadot,Henry Cavill,Jason Momoa,Robin Wright Penn,Zack Snyder
Fantasma da Saudade no Vale da Morte;2016;Documentários, Curta-Metragem;20 minutos;Carlos Malverde,Ellen Soares,Sissi Betina Venturin,Lufe Bollini
À Meia Noite Levarei Sua Alma;1964;Terror, Clássico;84 minutos;Arildo Iruam,Eucaris de Morais,Graveto,Ilídio Martins,José Mojica Marins,Magda Mei,Nivaldo de Lima,Valéria Vasquez,Zé do Caixão
Uma Viagem ao Mundo das Fábulas;2009;Animação, Infantil;78 minutos;Brendan Gleeson,Christen Mooney,Evan McGuire,Liam Hourican,Michael McGrath,Mick Lally,Paul Tylak,Paul Young,Tomm Moore
Rockfield - A Fazenda do Rock;2021;Documentários, Independente, Musical;92 minutos;Charlie Burchill,Chris Martin,Dave Brock,Freddie Mercury,James Dean Bradfield,Liam Gallagher,Mark Collins,Martin Blunt,Martin Carr,Nicky Wire,Ozzy Osbourne,Robert Plant,Tim Burgess,Toni Iommi,Hannah Berryman
Devo - Live 1980;2005;Shows, Pop Internacional, Rock Internacional;75 minutos;Alan Myers,Bob Casale,Gerald V. Casale,Mark Mothersbaugh,Robert Mothersbaugh,Devo
Guig Ghetto Naturalmente;2004;Shows, Axé, Samba / Pagode;79 minutos;Guig Ghetto,Léo Oliveira
Em Nome da América;2017;Documentários;96 minutos;Não Disponível,Fernando Weller
Um Lugar no Caribe;2017;Drama, Romance;114 minutos;Boris Barraza,Daniel Zacapa,Fermin Galeano,Gabriela de la Garza,Gastón Pauls,Jamie Bernadette,José Zúñiga,Lali Gonzalez,Rodrigo Guirao Díaz,Juan Carlos Fanconi
Troy o Trem - Volume 1;2016;Animação, Infantil;15 episódios;Edu Oliveira,Arthur Lener
Escritores Brasileiros;2012;Documentários;36 minutos;Não Disponível,Carolina Paiva
Festa no Apartamento da Suzana;2012;Curta-Metragem, Comédia, Romance;3 minutos;Alexandre Canetta,Ana Paula Málaga,Caroline Biagi ,Eduardo Colgan,Evandro Scorsin,Marisa Merlo,Morgana Horst,Tomás Von Der Osten,Christopher Faust
Leandro Sapucahy - Favela Brasil II - Soldado do Samba;2014;Shows, Samba / Pagode;78 minutos;Leandro Sapucahy,Leandro Sapucahy,Lilian Sapucahy
Negra;2016;Drama, Curta-Metragem;6 minutos;Renan Motta,Fred Belchior
Brasil S/A;2014;Aventura, Drama;64 minutos;Adeilton Nascimento,Edilson Silva,Giovanna Simões,Maracatu Estrela Brilhante,Marivalda Maria dos Santos,Marcelo Pedroso
Drácula;1931;Clássico, Drama, Fantasia, Terror;74 minutos;Bela Lugosi,Charles K. Gerrard,David Manners,Dwight Frye,Edward Van Sloan,Frances Dade,Helen Chandler,Herbert Bunston,Joan Standing,Tod Browning
Game Vídeo - Som dos Instrumentos;2019;Animação, Infantil;8 minutos;André Siqueira,Francine Porto,Juliana Vasconcelos,Moroni Cruz,Steven Cruz,Adolpho Knauth
Roupa Nova - Cruzeiro;2012;Shows, MPB;54 minutos;Roupa Nova,Ricardo Feghali
Um Presente de Deus;2013;Drama, Fé e Espiritualidade;84 minutos;Ann Filippis,Christy Storey,Daniel Knudsen,Rebekah Cook,Rich Swingle,Ryan-Iver Klann,Tim Kaiser,Keith Perna
Misfits - 2ª Temporada;2010;Comédia, Drama;7 episódios;Antonia Thomas,Joseph Gilgun,Karla Crome,Lauren Socha,Matt Stokoe,Nathan McMullen,Shaun Dooley,Howard Overman
O Elo Perdido - 3ª Temporada;1976;Ficção Científica, Aventura;13 episódios;Kathy Coleman,Phillip Paley,Spencer Milligan,Wesley Eure,Allan Foshko,Marty Krofft,Sid Krofft
Almanaque dos Pequerruchos - Bichos;2016;Animação, Infantil;14 minutos;Não Disponível,Ana Grilo,Júlio de Modesti
Rainha de Copas;2019;Drama;127 minutos;Frederikke Dahl Hansen,Gustav Lindh,Liv Esmår Dannemann,Magnus Krepper,Preben Kristensen,Silja Esmår Dannemann,Stine Gyldenkerne,Trine Dyrholm,May el-Toukhy
O Verdadeiro Poder da Oração;2006;Documentários, Fé e Espiritualidade;59 minutos;Não Disponível,David Mackenzie
O Mágico;2010;Animação, Drama;79 minutos;Duncan MacNeil,Eilidh Rankin,James T. Muir,Jean-Claude Donda,Paul Bandey,Raymond Mearns,Tom Urie,Sylvain Chomet
A Professora;2016;Comédia, Drama;98 minutos;Csongor Kassai,Éva Bandor,Jozef Domonkos,Monika Certezni,Peter Bartak,Peter Bebjak,Zuzana Mauréry,Jan Hrebejk
RBT Fishing - 1ª Temporada;2012;Documentários;4 episódios;Nam Kyu Lee,Marcel Eidy Nishiyama
Tudo Por Um Popstar;2018;Comédia, Romance;88 minutos;Felipe Neto,Giovanna Lancellotti,Isacque Lopes,João Guilherme Ávila,Klara Castanho,Maisa Silva,Mel Maia,Victor Aguiar,Bruno Garotti
Arrependei-vos e Sereis Salvos;2015;Suspense, Curta-Metragem;9 minutos;Davi Daniel,Fabio Teodoro,Fernando Ferraz,Guilherme Teixeira,Jade Teixeira,Wanessa Brazil,Bruno Benetti
Tenet;2020;Ação, Drama, Ficção Científica, Suspense;150 minutos;Aaron Taylor-Johnson,Clémence Poésy,Elizabeth Debicki,Himesh Patel,John David Washington,Josh Stewart,Kenneth Branagh,Martin Donovan,Michael Caine,Robert Pattinson,Christopher Nolan
Mundo Maior Debate - Loucura e Obsessão;2016;Fé e Espiritualidade, Documentário;104 minutos;Não Disponível,André Marouço
Lô Borges - Tênis + Clube - Ao Vivo no Circo Voador;2018;Shows, MPB;78 minutos;Gui de Marco,Lô Borges,Pablo Castro,Daniel Ferro,Marcelo Pianetti
As Flores de Nosso Jardim;2019;Curta-Metragem, Drama;26 minutos;Bethany Carol,Constance Egli,Cwennen Corral,Ligia María Storrs Rojas
Deus é o Meu Pastor;2008;Documentários, Fé e Espiritualidade;114 minutos;Ken Curtis,Bill Curtis,D. Michael Hostetle
Havia Cinzas Dentro de Mim;2017;Drama, Curta-Metragem;19 minutos;Não Disponível,Daniel Calil Cançado
A Maldição de Valburga;2019;Terror, Fantasia;82 minutos;Anton Antolek,Jurilj Drevensck,Katarina Stegnar,Luka Cimpric,Marko Mandic,Niklas Kvarforth,Sasa Pavlin Stosic,Tomaz Gorkic
Livre;1994;Curta-Metragem;15 minutos;Ana Cecília,Jackson Antunes,Marcia Paraiso,Ralf Tambke
Deus Não Está Morto - Uma Luz na Escuridão;2018;Drama, Fé e Espiritualidade;105 minutos; David A.R. White,C. Manning,Jennifer Taylor,John Corbett,Samantha Boscarino,Shane Harper,Tatum O'Neal,Ted McGinley,Michael Mason
Evilenko;2004;Suspense, Policial;110 minutos;Adrian McCourt,Frances Barber,John Benfield,Kiril Kaslikov,Malcolm Mcdowell,Marie Nadine Grin,Marton Csokas,Ronald Pickup,Vernon Dobtcheff,David Grieco
